"invoice_id","product_line","unit_price","datas","times"
"219-22-9386","Sports and travel","99.96","3/9/2019","17:26"
"751-69-0068","Sports and travel","99.24","3/19/2019","19:09"
"714-02-3114","Sports and travel","98.8","2/21/2019","11:39"
"253-12-6086","Sports and travel","98.4","3/12/2019","12:43"
"401-18-8016","Sports and travel","98.13","1/21/2019","17:36"
"827-77-7633","Sports and travel","98.09","2/17/2019","19:41"
"276-54-0879","Sports and travel","97.74","3/12/2019","19:53"
"139-32-4183","Sports and travel","97.48","3/14/2019","14:19"
"585-11-6748","Sports and travel","96.8","3/15/2019","13:05"
"707-32-7409","Sports and travel","95.54","2/26/2019","11:58"
"743-88-1662","Sports and travel","95.49","2/22/2019","18:17"
"554-42-2417","Sports and travel","95.44","1/9/2019","13:45"
"534-53-3526","Sports and travel","94.76","2/11/2019","16:06"
"299-46-1805","Sports and travel","93.72","1/15/2019","16:19"
"423-57-2993","Sports and travel","93.39","3/27/2019","19:18"
"875-31-8302","Sports and travel","93.38","1/3/2019","13:07"
"282-35-2475","Sports and travel","93.31","3/25/2019","17:53"
"618-34-8551","Sports and travel","93.18","1/16/2019","18:41"
"645-78-8093","Sports and travel","93.14","1/20/2019","18:09"
"802-70-5316","Sports and travel","92.13","3/6/2019","20:34"
"719-89-8991","Sports and travel","91.41","2/25/2019","16:03"
"347-72-6115","Sports and travel","90.74","1/16/2019","18:03"
"678-79-0726","Sports and travel","90.63","1/18/2019","15:28"
"361-59-0574","Sports and travel","90.53","3/15/2019","14:48"
"549-84-7482","Sports and travel","90.28","2/8/2019","11:15"
"731-81-9469","Sports and travel","89.8","1/23/2019","13:00"
"361-85-2571","Sports and travel","89.48","3/30/2019","10:18"
"166-19-2553","Sports and travel","89.06","1/18/2019","17:26"
"549-59-1358","Sports and travel","88.63","3/2/2019","17:36"
"511-54-3087","Sports and travel","88.45","2/25/2019","16:36"
"394-30-3170","Sports and travel","88.43","3/22/2019","19:35"
"321-49-7382","Sports and travel","88.31","2/15/2019","17:38"
"746-68-6593","Sports and travel","87.16","1/11/2019","14:29"
"373-73-7910","Sports and travel","86.31","2/8/2019","10:37"
"550-84-8664","Sports and travel","85.91","3/22/2019","14:33"
"640-49-2076","Sports and travel","83.78","1/10/2019","14:49"
"887-42-0517","Sports and travel","83.14","1/10/2019","10:31"
"730-50-9884","Sports and travel","83.06","3/5/2019","14:31"
"257-73-1380","Sports and travel","82.93","1/20/2019","16:51"
"289-15-7034","Sports and travel","82.33","1/11/2019","10:37"
"400-89-4171","Sports and travel","80.97","1/28/2019","13:05"
"284-54-4231","Sports and travel","80.93","1/19/2019","16:08"
"532-59-7201","Sports and travel","79.93","1/31/2019","14:04"
"232-11-3025","Sports and travel","78.77","1/24/2019","10:04"
"149-71-6266","Sports and travel","78.07","1/28/2019","12:43"
"880-46-5796","Sports and travel","76.92","3/17/2019","19:53"
"602-16-6955","Sports and travel","76.6","1/24/2019","18:10"
"423-80-0988","Sports and travel","76.4","1/30/2019","19:42"
"632-32-4574","Sports and travel","75.92","3/20/2019","14:14"
"525-88-7307","Sports and travel","75.82","1/31/2019","13:19"
"880-35-0356","Sports and travel","75.2","2/5/2019","11:51"
"578-80-7669","Sports and travel","74.97","3/16/2019","16:58"
"408-26-9866","Sports and travel","73.98","3/2/2019","16:42"
"277-63-2961","Sports and travel","73.97","2/3/2019","15:53"
"326-71-2155","Sports and travel","73.95","2/3/2019","10:02"
"173-57-2300","Sports and travel","72.88","3/13/2019","12:51"
"765-26-6951","Sports and travel","72.61","1/1/2019","10:39"
"327-40-9673","Sports and travel","72.6","1/13/2019","19:51"
"575-30-8091","Sports and travel","72.5","3/16/2019","19:25"
"600-38-9738","Sports and travel","71.92","1/17/2019","15:05"
"373-14-0504","Sports and travel","71.63","2/12/2019","14:33"
"394-55-6384","Sports and travel","70.19","1/25/2019","13:38"
"174-64-0215","Sports and travel","69.74","3/5/2019","17:49"
"105-31-1824","Sports and travel","69.52","2/1/2019","15:10"
"354-25-5821","Sports and travel","69.12","2/8/2019","13:03"
"232-16-2483","Sports and travel","68.12","1/7/2019","12:28"
"201-63-8275","Sports and travel","67.99","2/17/2019","16:50"
"783-09-1637","Sports and travel","67.43","3/6/2019","18:13"
"741-73-3559","Sports and travel","67.27","2/27/2019","17:27"
"882-40-4577","Sports and travel","67.26","1/19/2019","15:28"
"815-04-6282","Sports and travel","64.97","2/8/2019","12:52"
"767-97-4650","Sports and travel","64.83","1/8/2019","11:59"
"852-82-2749","Sports and travel","64.59","1/6/2019","13:35"
"149-61-1929","Sports and travel","64.19","1/19/2019","14:08"
"752-23-3760","Sports and travel","64.08","2/19/2019","19:29"
"275-28-0149","Sports and travel","63.69","2/25/2019","16:21"
"375-72-3056","Sports and travel","63.06","1/19/2019","15:58"
"129-29-8530","Sports and travel","62.62","3/10/2019","19:15"
"630-74-5166","Sports and travel","62.13","3/22/2019","20:19"
"541-48-8554","Sports and travel","60.95","1/7/2019","12:08"
"816-57-2053","Sports and travel","60.87","3/9/2019","12:37"
"109-86-4363","Sports and travel","60.08","2/14/2019","11:36"
"497-37-6538","Sports and travel","58.91","1/17/2019","15:15"
"503-07-0930","Sports and travel","58.39","2/23/2019","19:49"
"692-27-8933","Sports and travel","57.95","2/24/2019","13:02"
"659-36-1684","Sports and travel","57.12","1/12/2019","12:02"
"347-34-2234","Sports and travel","55.07","2/3/2019","13:40"
"878-30-2331","Sports and travel","54.55","3/2/2019","11:22"
"642-30-6693","Sports and travel","54.51","3/17/2019","13:54"
"154-74-7179","Sports and travel","54.45","2/26/2019","19:24"
"308-47-4913","Sports and travel","52.26","3/9/2019","12:45"
"241-72-9525","Sports and travel","51.91","2/16/2019","12:21"
"539-21-7227","Sports and travel","51.54","1/26/2019","17:45"
"420-18-8989","Sports and travel","51.52","2/2/2019","15:47"
"438-01-4015","Sports and travel","49.49","3/21/2019","15:25"
"718-57-9773","Sports and travel","49.33","2/3/2019","16:40"
"360-39-5055","Sports and travel","48.91","3/9/2019","10:17"
"387-49-4215","Sports and travel","48.5","1/8/2019","12:50"
"123-35-4896","Sports and travel","46.66","2/17/2019","19:11"
"656-16-1063","Sports and travel","46.42","1/4/2019","13:24"
"460-93-5834","Sports and travel","45.58","1/13/2019","10:03"
"560-49-6611","Sports and travel","45.58","2/7/2019","14:13"
"225-32-0908","Sports and travel","44.86","1/26/2019","19:54"
"150-89-8043","Sports and travel","44.65","2/14/2019","15:04"
"670-71-7306","Sports and travel","44.63","1/2/2019","20:08"
"828-61-5674","Sports and travel","44.02","3/20/2019","19:57"
"695-28-6250","Sports and travel","43.06","2/4/2019","16:38"
"322-02-2271","Sports and travel","42.97","2/3/2019","11:46"
"722-13-2115","Sports and travel","42.85","3/14/2019","15:36"
"504-35-8843","Sports and travel","42.47","1/2/2019","16:57"
"679-22-6530","Sports and travel","40.62","1/17/2019","10:01"
"286-01-5402","Sports and travel","40.23","3/30/2019","13:22"
"340-21-9136","Sports and travel","40.05","1/25/2019","11:40"
"860-73-6466","Sports and travel","39.47","3/2/2019","16:16"
"449-27-2918","Sports and travel","39.12","3/26/2019","11:02"
"509-29-3912","Sports and travel","38.72","3/20/2019","12:24"
"149-15-7606","Sports and travel","37.32","3/6/2019","15:31"
"674-15-9296","Sports and travel","37.14","1/8/2019","13:05"
"554-53-3790","Sports and travel","37.02","3/22/2019","18:33"
"493-65-6248","Sports and travel","36.98","1/1/2019","19:48"
"457-12-0244","Sports and travel","35.22","3/14/2019","13:49"
"695-51-0018","Sports and travel","34.84","2/10/2019","18:36"
"320-85-2052","Sports and travel","34.81","1/14/2019","10:11"
"584-86-7256","Sports and travel","34.56","3/11/2019","16:07"
"701-69-8742","Sports and travel","34.37","3/16/2019","10:11"
"485-30-8700","Sports and travel","33.26","3/18/2019","16:10"
"870-54-3162","Sports and travel","32.25","1/27/2019","13:26"
"311-13-6971","Sports and travel","31.99","2/20/2019","15:18"
"345-68-9016","Sports and travel","31.67","1/2/2019","16:19"
"891-58-8335","Sports and travel","29.61","3/11/2019","15:53"
"271-77-8740","Sports and travel","29.22","1/1/2019","11:40"
"816-72-8853","Sports and travel","27.93","1/29/2019","15:48"
"182-52-7000","Sports and travel","27.04","1/1/2019","20:26"
"343-61-3544","Sports and travel","26.67","1/29/2019","11:48"
"696-90-2548","Sports and travel","25.84","3/10/2019","18:55"
"445-30-9252","Sports and travel","25.7","1/17/2019","17:59"
"825-94-5922","Sports and travel","25.31","3/2/2019","19:26"
"102-06-2002","Sports and travel","25.25","3/20/2019","17:52"
"560-30-5617","Sports and travel","24.77","3/24/2019","18:27"
"285-68-5083","Sports and travel","24.74","2/15/2019","17:47"
"864-24-7918","Sports and travel","24.49","2/22/2019","15:15"
"226-71-3580","Sports and travel","23.75","1/31/2019","12:02"
"510-79-0415","Sports and travel","23.08","1/24/2019","19:20"
"751-15-6198","Sports and travel","23.01","1/12/2019","16:45"
"862-29-5914","Sports and travel","22.38","1/30/2019","17:08"
"447-15-7839","Sports and travel","22.24","2/9/2019","11:00"
"569-76-2760","Sports and travel","22.01","1/29/2019","18:15"
"873-51-0671","Sports and travel","21.98","1/10/2019","16:42"
"569-71-4390","Sports and travel","21.87","1/25/2019","14:29"
"173-50-1108","Sports and travel","20.18","2/13/2019","12:14"
"606-80-4905","Sports and travel","19.15","1/29/2019","10:01"
"301-11-9629","Sports and travel","19.1","1/15/2019","10:43"
"842-29-4695","Sports and travel","17.14","1/16/2019","12:07"
"479-26-8945","Sports and travel","16.49","2/5/2019","11:32"
"199-75-8169","Sports and travel","15.81","3/6/2019","12:27"
"851-28-6367","Sports and travel","15.5","3/23/2019","10:55"
"859-71-0933","Sports and travel","15.49","1/16/2019","15:10"
"490-29-1201","Sports and travel","15.34","1/6/2019","11:09"
"835-16-0096","Sports and travel","14.7","3/24/2019","13:48"
"883-17-4236","Sports and travel","14.39","3/2/2019","19:44"
"613-59-9758","Sports and travel","14.36","1/27/2019","14:28"
"388-76-2555","Sports and travel","13.69","2/13/2019","13:59"
"840-76-5966","Sports and travel","12.76","1/8/2019","18:06"
"586-25-0848","Sports and travel","12.34","3/4/2019","11:19"
"343-75-9322","Sports and travel","11.85","1/9/2019","16:34"
"784-21-9238","Sports and travel","10.17","2/7/2019","14:15"
