"invoice_id","product_line","unit_price","classeUnitPrice"
"750-67-8428","Health and beauty","74.69","preço unitário alto"
"226-31-3081","Electronic accessories","15.28","preço unitário baixo"
"631-41-3108","Home and lifestyle","46.33","preço unitário baixo"
"123-19-1176","Health and beauty","58.22","preço unitário alto"
"373-73-7910","Sports and travel","86.31","preço unitário alto"
"699-14-3026","Electronic accessories","85.39","preço unitário alto"
"355-53-5943","Electronic accessories","68.84","preço unitário alto"
"315-22-5665","Home and lifestyle","73.56","preço unitário alto"
"665-32-9167","Health and beauty","36.26","preço unitário baixo"
"692-92-5582","Food and beverages","54.84","preço unitário alto"
"351-62-0822","Fashion accessories","14.48","preço unitário baixo"
"529-56-3974","Electronic accessories","25.51","preço unitário baixo"
"365-64-0515","Electronic accessories","46.95","preço unitário baixo"
"252-56-2699","Food and beverages","43.19","preço unitário baixo"
"829-34-3910","Health and beauty","71.38","preço unitário alto"
"299-46-1805","Sports and travel","93.72","preço unitário alto"
"656-95-9349","Health and beauty","68.93","preço unitário alto"
"765-26-6951","Sports and travel","72.61","preço unitário alto"
"329-62-1586","Food and beverages","54.67","preço unitário alto"
"319-50-3348","Home and lifestyle","40.3","preço unitário baixo"
"300-71-4605","Electronic accessories","86.04","preço unitário alto"
"371-85-5789","Health and beauty","87.98","preço unitário alto"
"273-16-6619","Home and lifestyle","33.2","preço unitário baixo"
"636-48-8204","Electronic accessories","34.56","preço unitário baixo"
"549-59-1358","Sports and travel","88.63","preço unitário alto"
"227-03-5010","Home and lifestyle","52.59","preço unitário alto"
"649-29-6775","Fashion accessories","33.52","preço unitário baixo"
"189-17-4241","Fashion accessories","87.67","preço unitário alto"
"145-94-9061","Food and beverages","88.36","preço unitário alto"
"848-62-7243","Health and beauty","24.89","preço unitário baixo"
"871-79-8483","Fashion accessories","94.13","preço unitário alto"
"149-71-6266","Sports and travel","78.07","preço unitário alto"
"640-49-2076","Sports and travel","83.78","preço unitário alto"
"595-11-5460","Health and beauty","96.58","preço unitário alto"
"183-56-6882","Food and beverages","99.42","preço unitário alto"
"232-16-2483","Sports and travel","68.12","preço unitário alto"
"129-29-8530","Sports and travel","62.62","preço unitário alto"
"272-65-1806","Electronic accessories","60.88","preço unitário alto"
"333-73-7901","Health and beauty","54.92","preço unitário alto"
"777-82-7220","Home and lifestyle","30.12","preço unitário baixo"
"280-35-5823","Home and lifestyle","86.72","preço unitário alto"
"554-53-8700","Home and lifestyle","56.11","preço unitário alto"
"354-25-5821","Sports and travel","69.12","preço unitário alto"
"228-96-1411","Food and beverages","98.7","preço unitário alto"
"617-15-4209","Health and beauty","15.37","preço unitário baixo"
"132-32-9879","Electronic accessories","93.96","preço unitário alto"
"370-41-7321","Health and beauty","56.69","preço unitário alto"
"727-46-3608","Food and beverages","20.01","preço unitário baixo"
"669-54-1719","Electronic accessories","18.93","preço unitário baixo"
"574-22-5561","Fashion accessories","82.63","preço unitário alto"
"326-78-5178","Food and beverages","91.4","preço unitário alto"
"162-48-8011","Food and beverages","44.59","preço unitário baixo"
"616-24-2851","Fashion accessories","17.87","preço unitário baixo"
"778-71-5554","Fashion accessories","15.43","preço unitário baixo"
"242-55-6721","Home and lifestyle","16.16","preço unitário baixo"
"399-46-5918","Electronic accessories","85.98","preço unitário alto"
"106-35-6779","Home and lifestyle","44.34","preço unitário baixo"
"635-40-6220","Health and beauty","89.6","preço unitário alto"
"817-48-8732","Home and lifestyle","72.35","preço unitário alto"
"120-06-4233","Electronic accessories","30.61","preço unitário baixo"
"285-68-5083","Sports and travel","24.74","preço unitário baixo"
