"total","city"
"1042.65","Naypyitaw"
"1034.46","Naypyitaw"
"1023.75","Naypyitaw"
"1020.705","Naypyitaw"
"1003.59","Naypyitaw"
"1002.12","Naypyitaw"
"950.25","Naypyitaw"
"943.299","Naypyitaw"
"942.9","Naypyitaw"
"939.54","Naypyitaw"
"937.818","Naypyitaw"
"936.6","Naypyitaw"
"935.2665","Naypyitaw"
"914.55","Naypyitaw"
"888.405","Naypyitaw"
"881.307","Naypyitaw"
"867.615","Naypyitaw"
"864.57","Naypyitaw"
"860.685","Naypyitaw"
"860.475","Naypyitaw"
"856.4535","Naypyitaw"
"829.71","Naypyitaw"
"829.08","Naypyitaw"
"829.08","Naypyitaw"
"822.255","Naypyitaw"
"820.365","Naypyitaw"
"814.38","Naypyitaw"
