"invoice_id","product_line","unit_price"
"750-67-8428","Health and beauty","74.69"
"829-34-3910","Health and beauty","71.38"
"371-85-5789","Health and beauty","87.98"
"595-11-5460","Health and beauty","96.58"
"635-40-6220","Health and beauty","89.6"
"853-23-2453","Health and beauty","75.74"
"870-72-4431","Health and beauty","99.19"
"318-68-5053","Health and beauty","76.99"
"512-91-0811","Health and beauty","89.75"
"766-85-7061","Health and beauty","87.87"
"210-67-5886","Health and beauty","98.21"
"483-71-1164","Health and beauty","81.3"
"280-17-4359","Health and beauty","90.5"
"743-04-1105","Health and beauty","97.22"
"249-42-3782","Health and beauty","70.01"
"342-65-4817","Health and beauty","86.8"
"418-02-5978","Health and beauty","84.09"
"477-24-6490","Health and beauty","99.71"
"667-92-0055","Health and beauty","99.83"
"873-95-4984","Health and beauty","76.9"
"885-17-6250","Health and beauty","79.74"
"726-27-2396","Health and beauty","77.5"
"268-03-6164","Health and beauty","96.11"
"186-09-3669","Health and beauty","81.51"
"731-59-7531","Health and beauty","72.57"
"343-87-0864","Health and beauty","75.88"
"443-82-0585","Health and beauty","77.68"
"628-90-8624","Health and beauty","82.58"
"778-89-7974","Health and beauty","70.21"
"576-31-4774","Health and beauty","73.41"
"729-06-2010","Health and beauty","80.47"
"186-79-9562","Health and beauty","71.77"
"607-65-2441","Health and beauty","81.95"
"314-23-4520","Health and beauty","81.23"
"759-98-4285","Health and beauty","85.87"
"359-94-5395","Health and beauty","92.78"
"869-11-3082","Health and beauty","96.16"
"222-42-0244","Health and beauty","72.11"
"528-14-9470","Health and beauty","91.3"
"160-22-2687","Health and beauty","95.95"
"389-70-2397","Health and beauty","83.66"
"699-88-1972","Health and beauty","99.16"
"725-54-0677","Health and beauty","85.6"
"450-42-3339","Health and beauty","84.61"
"851-98-3555","Health and beauty","82.88"
"433-08-7822","Health and beauty","78.89"
"131-70-8179","Health and beauty","92.09"
"148-41-7930","Health and beauty","99.96"
"430-53-4718","Health and beauty","75.37"
