"invoice_id","branch","total","classetotal"
"750-67-8428","A","548.9715","Total com alto valor"
"226-31-3081","C","80.22","Total com baixo valor"
"631-41-3108","A","340.5255","Total com baixo valor"
"123-19-1176","A","489.048","Total com baixo valor"
"373-73-7910","A","634.3785","Total com alto valor"
"699-14-3026","C","627.6165","Total com alto valor"
"355-53-5943","A","433.692","Total com baixo valor"
"315-22-5665","C","772.38","Total com alto valor"
"665-32-9167","A","76.146","Total com baixo valor"
"692-92-5582","B","172.746","Total com baixo valor"
"351-62-0822","B","60.816","Total com baixo valor"
"529-56-3974","B","107.142","Total com baixo valor"
"365-64-0515","A","246.4875","Total com baixo valor"
"252-56-2699","A","453.495","Total com baixo valor"
"829-34-3910","A","749.49","Total com alto valor"
"299-46-1805","B","590.436","Total com alto valor"
"656-95-9349","A","506.6355","Total com alto valor"
"765-26-6951","A","457.443","Total com baixo valor"
"329-62-1586","A","172.2105","Total com baixo valor"
"319-50-3348","B","84.63","Total com baixo valor"
"300-71-4605","C","451.71","Total com baixo valor"
"371-85-5789","B","277.137","Total com baixo valor"
"273-16-6619","B","69.72","Total com baixo valor"
"636-48-8204","A","181.44","Total com baixo valor"
"549-59-1358","A","279.1845","Total com baixo valor"
"227-03-5010","A","441.756","Total com baixo valor"
"649-29-6775","B","35.196","Total com baixo valor"
"189-17-4241","A","184.107","Total com baixo valor"
"145-94-9061","B","463.89","Total com baixo valor"
"848-62-7243","A","235.2105","Total com baixo valor"
"871-79-8483","B","494.1825","Total com baixo valor"
"149-71-6266","B","737.7615","Total com alto valor"
"640-49-2076","B","703.752","Total com alto valor"
"595-11-5460","A","202.818","Total com baixo valor"
"183-56-6882","C","417.564","Total com baixo valor"
"232-16-2483","C","71.526","Total com baixo valor"
"129-29-8530","A","328.755","Total com baixo valor"
"272-65-1806","A","575.316","Total com alto valor"
"333-73-7901","C","461.328","Total com baixo valor"
"777-82-7220","B","253.008","Total com baixo valor"
"280-35-5823","B","91.056","Total com baixo valor"
"554-53-8700","C","117.831","Total com baixo valor"
"354-25-5821","B","435.456","Total com baixo valor"
"228-96-1411","C","829.08","Total com alto valor"
"617-15-4209","C","32.277","Total com baixo valor"
"132-32-9879","B","394.632","Total com baixo valor"
"370-41-7321","B","535.7205","Total com alto valor"
