"invoice_id","customer_type","total"
"687-47-8271","Normal","1039.29"
"751-41-9720","Normal","1023.75"
"234-65-2137","Normal","1003.59"
"280-17-4359","Member","950.25"
"219-22-9386","Member","944.622"
"702-83-5291","Member","943.299"
"393-65-2792","Normal","939.54"
"751-69-0068","Normal","937.818"
"866-99-7614","Normal","936.6"
"704-48-3927","Member","931.035"
"827-77-7633","Normal","926.9505"
"766-85-7061","Normal","922.635"
"743-04-1105","Member","918.729"
"450-42-3339","Normal","888.405"
"805-86-0265","Normal","887.922"
"628-90-8624","Member","867.09"
"267-62-7380","Member","864.57"
"861-77-0145","Member","860.685"
"607-65-2441","Member","860.475"
"533-33-5337","Normal","833.595"
"699-88-1972","Normal","832.944"
"457-94-0464","Member","830.3715"
"735-32-9839","Member","829.08"
"232-11-3025","Normal","827.085"
"373-09-4567","Normal","814.38"
"880-46-5796","Member","807.66"
"549-03-9315","Normal","796.908"
"376-02-8238","Normal","788.508"
"746-94-0204","Normal","786.618"
"197-77-7132","Member","769.104"
"742-04-5161","Member","764.19"
"361-59-0574","Member","760.452"
"729-06-2010","Member","760.4415"
"525-09-8450","Normal","757.365"
"635-40-6220","Normal","752.64"
"537-72-0426","Member","745.395"
"189-98-2939","Normal","742.2975"
"149-71-6266","Member","737.7615"
"148-41-7930","Normal","734.706"
"174-64-0215","Normal","732.27"
"189-52-0236","Normal","731.6925"
"435-13-4908","Member","728.112"
"898-04-2717","Normal","721.98"
"189-40-5216","Normal","708.3195"
"443-59-0061","Member","708.225"
"287-21-9091","Normal","705.6315"
"640-49-2076","Normal","703.752"
"616-87-0016","Normal","702.219"
"743-88-1662","Normal","701.8515"
"188-55-0967","Member","697.935"
"457-13-1708","Member","684.915"
"538-22-0304","Normal","681.975"
"263-12-5321","Member","680.61"
"612-36-5536","Member","680.064"
"149-61-1929","Normal","673.995"
"326-78-5178","Member","671.79"
"648-83-1321","Member","667.38"
"868-06-0466","Member","657.531"
"836-82-5858","Member","655.5465"
"796-12-2025","Normal","652.26"
"452-04-8808","Normal","640.038"
"632-32-4574","Normal","637.728"
"373-73-7910","Normal","634.3785"
"305-18-3552","Member","633.99"
"430-53-4718","Member","633.108"
"641-62-7288","Normal","629.496"
"725-54-0677","Member","629.16"
"667-92-0055","Member","628.929"
"699-14-3026","Normal","627.6165"
"379-17-6588","Normal","625.905"
"828-46-6863","Member","620.739"
"648-94-3045","Normal","618.975"
"137-63-5492","Normal","616.98"
